title,company,location,salary_min,score
Project Administrator,Mortgage Brain,"London, UK",37108.34,100
Project Administrator,Mortgage Brain,"Farringdon, Central London",35776.84,100
Project Administrator,Future Engineering Recruitment Ltd,"Barnet, Hertfordshire",38000.0,80
Compliance Administrator - Temp Role - £18.06p/h,Ashdown Group,"Birmingham, West Midlands",37564.0,80
Compliance Administrator - Temp Role - £18.06p/h,Ashdown Group,"Birmingham, West Midlands",37440.0,80
