title,company,location,description,redirect_url,contract_type,contract_time,salary_min,salary_max,salary_is_predicted,company.display_name,location.display_name,score,clean_location,salary_avg,company_clean
D&A Analyst,Stanton House,"Birmingham, West Midlands","Role: Data Analyst Permanent role Location: Birmingham, Midlands Style: Hybrid One of our leading, listed clients is looking for ambitious Data Analyst to join their Data Team and work closely with Business Partners and Enterprise Architects and support the Data Manager to understand the business challenges and provide data and analytics solutions. As a Data Analyst you will be responsible for: Data Engineering - assisting with the design, development and implementation of ETL Business Intellig…",https://www.adzuna.co.uk/jobs/details/5391020428?utm_medium=api&utm_source=0aad2298,permanent,full_time,50000.0,57000.0,0,,,54.6,"Birmingham, West Midlands",53500.0,stanton house
Senior SQL Server Developer - Remote Working,WellData Limited,"Birmingham, West Midlands","Job Title: Senior SQL Server Developer Location: Completely Remote role, can be Located anywhere in the UK! Salary: £45k - £53k per annum depending on experience We're proud to be a trusted leader in SQL development services, and in database, server, cloud, and application services. We enjoy helping our clients, many of which are well-known household brands, stay connected and supported. The Senior SQL Server Developer will be responsible for developing and enhancing high quality data solutions…",https://www.adzuna.co.uk/jobs/details/5364911254?utm_medium=api&utm_source=0aad2298,,,50000.0,50000.0,0,,,73.7,"Birmingham, West Midlands",50000.0,welldata
Data Lead,SF Recruitment ,"Birmingham, West Midlands","Data Lead - Financial Services Location: Birmingham (2-3 days in the office) Salary: £50,000 Contract: Permanent, Full-time Are you a data professional with strong experience in financial services - from pensions and insurance through to mortgages and investments? We're looking for a Data Lead to take ownership of the onboarding, validation, and management of large-scale customer and employer data within a major financial services environment. The Role This position is central to ensuring the i…",https://www.adzuna.co.uk/jobs/land/ad/5412576907?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=EDFC0518ACC36DC0458B07CC87970BFB00985670,permanent,full_time,50000.0,50000.0,0,,,9.6,"Birmingham, West Midlands",50000.0,sf
Information Security Specialist,Milliman,"Birmingham, West Midlands","We are seeking a skilled and driven Information Security Specialist to join our global Life Technology Solutions practice. You will play a pivotal role in implementing and managing IT solutions to assist our various teams across the practice helping increase our security posture and reduce our overall risk. You will be expected to leverage your technical expertise to enhance our security, manage risks, and contribute to the overall information security strategy of the firm. Who We Are Practice …",https://www.adzuna.co.uk/jobs/details/5408403524?utm_medium=api&utm_source=0aad2298,,full_time,49764.77,49764.77,1,,,10.5,"Birmingham, West Midlands",49764.77,milliman
HR Analyst - AI Driven Insights (12 month fixed term contract),RSM UK,"Birmingham, West Midlands","As one of the world's largest networks of audit, tax and consulting firms, RSM delivers big ideas and premium service to help middle-market businesses thrive. We are a fast-growing firm with big ambitions  we have a clear goal to become the premium adviser to the middle market, globally. This vision touches everything we do, motivating and inspiring us to become better every day. If you are looking for a firm where you can build a future and make an impact, then RSM is the place for you. Make a…",https://www.adzuna.co.uk/jobs/details/5404908176?utm_medium=api&utm_source=0aad2298,contract,,48845.72,48845.72,1,,,10.5,"Birmingham, West Midlands",48845.72,rsm uk
Support Analyst - Azure Data Factory,"NTT America, Inc.","Birmingham, West Midlands","The team you'll be working with: The Azure Data Factory Support Analyst will be responsible for undertaking support, maintenance and development tasks on the ADF and DWH estate for a large NTT DATA client in the public sector. This role will lead the service, from taking transition of the estate from the current team to helping establish a fully fleshed out service. The person playing this role will build working relationships with key client, incumbent and NTT DATA stakeholders, including othe…",https://www.adzuna.co.uk/jobs/details/5363514609?utm_medium=api&utm_source=0aad2298,,,47218.58,47218.58,1,,,6.8999999999999995,"Birmingham, West Midlands",47218.58,"ntt america, inc"
Senior Data Analyst,BCA,"Chelmsley Wood, Birmingham","Senior Data Analyst Hybrid, Birmingham (3 days per week in the office) Competitive salary plus Car allowance  Pension 40 hours per week Monday – Friday Who are we? BCA are the biggest name in Europe’s vehicle remarketing industry, backed by the Constellation Automotive Group, we’re part of a family including cinch and WeBuyAnyCar.com. We’re growing rapidly and are on a key digital transformation journey. Constellation Automotive Group is the largest vertically integrated digital used car market…",https://www.adzuna.co.uk/jobs/details/5348378906?utm_medium=api&utm_source=0aad2298,permanent,full_time,44647.62,44647.62,1,,,54.6,Chelmsley Wood,44647.62,bca
Trainee Data Analyst,Newto Training,"Birmingham, West Midlands","Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",https://www.adzuna.co.uk/jobs/land/ad/5410411443?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=B0FBC6DFBFFAA3A48A31B42DAC644D01B7047AD6,permanent,full_time,43881.71,43881.71,1,,,59.6,"Birmingham, West Midlands",43881.71,newto training
Voice &amp; Data Analyst (Part-Time),Tarmac Resourcing,"Birmingham International Airport, Birmingham","Voice &amp; Data Networks Analyst Are you a dedicated Voice &amp; Data Networks Analyst looking to make a meaningful impact in a dynamic and forward-thinking organisation? At Tarmac, we are on the lookout for a Voice &amp; Data Networks Analyst to join our team. About the Role Reporting into the Business Infrastructure Manager, the successful Voice &amp; Data Networks Analyst will be ensuring the delivery of consistent, appropriate, secure, cost-effective, compliant and high-quality voice and d…",https://www.adzuna.co.uk/jobs/details/5374635162?utm_medium=api&utm_source=0aad2298,permanent,part_time,43447.89,43447.89,1,,,33.7,Birmingham International Airport,43447.89,tarmac resourcing
Certified Data Analytics Bootcamp (Hiring Immediately),ITonlinelearning Recruitment,"Ladywood, Birmingham","Data Analyst Course Programme Job Guarantee Included Complete online training designed to take you from zero experience to your first data analyst role. Study part-time, build fundamental skills, and get dedicated job placement support until you're hired. Flexible financing options available, with payment plans starting from as low as 142 per month. The Programme Complete this 10-week online training with just 10-15 hours per week of study time. You'll learn industry-standard tools, including E…",https://www.adzuna.co.uk/jobs/land/ad/5280557355?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=3DFBCA438162B681C99BFB3735D87CDC9B398F1E,,part_time,41546.96,41546.96,1,,,32.8,Ladywood,41546.96,itonlinelearning
Voice & Data Analyst (Part-Time),Tarmac Trading Limited,"Birmingham, West Midlands","Voice & Data Networks Analyst Are you a dedicated Voice & Data Networks Analyst looking to make a meaningful impact in a dynamic and forward-thinking organisation? At Tarmac, we are on the lookout for a Voice & Data Networks Analyst to join our team. About the Role Reporting into the Business Infrastructure Manager, the successful Voice & Data Networks Analyst will be ensuring the delivery of consistent, appropriate, secure, cost-effective, compliant and high-quality voice and data services to …",https://www.adzuna.co.uk/jobs/details/5374874618?utm_medium=api&utm_source=0aad2298,,part_time,40613.68,40613.68,1,,,35.5,"Birmingham, West Midlands",40613.68,tarmac trading
Power Platform Engineer,Network IT,"Birmingham, West Midlands","Role: Power Platform Engineer Location: Birmingham (Hybrid – 3 Days Average In-Office Weekly) Salary: £35,000 - £45,000 Contract: Fixed-Term (3 Years) Network IT is recruiting for a Power Platform Engineer to join a reputable organisation who are undertaking a significant programme to play a key role in driving automation and digital transformation. This is a 3-year fixed term contract , offering the opportunity to design and deliver solutions that enhance efficiency, streamline processes, and …",https://www.adzuna.co.uk/jobs/land/ad/5391213764?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=AE6CD5B0081211BFD2926BE2807E5679E06E307B,permanent,,35000.0,45000.0,0,,,30.5,"Birmingham, West Midlands",40000.0,network it
Data Science Trainee,ITOL Recruit,"Birmingham, West Midlands","Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",https://www.adzuna.co.uk/jobs/land/ad/5414813985?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=54C8BB7A23C32D5223E92907390576762463B185,permanent,full_time,30000.0,50000.0,0,,,10.5,"Birmingham, West Midlands",40000.0,itol recruit
Senior Data Governance Analyst,Harnham,"Birmingham, West Midlands","Senior Data Governance Analyst Salary: up to £40,000 Based: Birmingham - 3x week in office Are you passionate about data governance and looking to grow your career in a dynamic and regulated financial services environment? We’re seeking a Senior Data Governance Analyst to support the operational side of data governance within a financial organisation. You’ll play a key role in content management, data quality reporting, and stakeholder engagement. What You’ll Do Support data governance managers…",https://www.adzuna.co.uk/jobs/land/ad/5412031064?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=1DE25C96BE3DD59C97A1762DC99976B080F549AC,,,37787.08,37787.08,1,,,10.5,"Birmingham, West Midlands",37787.08,harnham
Data Analytics Internship,WillHire,"Birmingham, West Midlands","About WillHire: WillHire is an innovative talent solutions platform committed to connecting businesses with exceptional candidates. As part of our expansion into Data Analytics, we’re offering a structured internship program for motivated individuals eager to build a career in data-driven decision-making. Internship Summary: Join our analytics team and gain practical experience working on real business datasets. You’ll develop dashboards, conduct data analysis, and help generate actionable insi…",https://www.adzuna.co.uk/jobs/land/ad/5411897129?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=01713504ECCAF351457464ED12B789BB151294E8,contract,,37389.54,37389.54,1,,,6.8999999999999995,"Birmingham, West Midlands",37389.54,willhire
Data Analyst Training Program (Hiring Immediately),ITonlinelearning Recruitment,"Ladywood, Birmingham","Data Analyst Course Programme Job Guarantee Included Complete online training designed to take you from zero experience to your first data analyst role. Study part-time, build fundamental skills, and get dedicated job placement support until you're hired. Flexible financing options available, with payment plans starting from as low as 142 per month. The Programme Complete this 10-week online training with just 10-15 hours per week of study time. You'll learn industry-standard tools, including E…",https://www.adzuna.co.uk/jobs/land/ad/5280557269?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=B919E2EAE7D06CDD5685AE2B691D5A685A4A8E82,,part_time,37206.46,37206.46,1,,,32.8,Ladywood,37206.46,itonlinelearning
Data Analyst Placement Programme,ITOL Recruit,"Balsall Heath, Birmingham","Please note this is a training course and fees apply* Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed f…",https://www.adzuna.co.uk/jobs/land/ad/4943040641?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=F742021C247415EAB383C1BBFA3CB96FBFA691AA,,full_time,34651.24,34651.24,1,,,36.7,Balsall Heath,34651.24,itol recruit
Supply Chain Analyst,Corus Consultancy,"Birmingham, West Midlands","Are you a detail-driven supply chain professional with strong Excel skills? I'm currently supporting a Birmingham-based business in recruiting for a brand-new Supply Chain Analyst role, ideal for someone with 2 years' UK experience in procurement, purchasing, or logistics who is ready to take their career to the next level. This isn't just another reporting role. You'll be the person turning data into decisions: building reports, analysing supplier performance, monitoring costs, and presenting …",https://www.adzuna.co.uk/jobs/details/5414626139?utm_medium=api&utm_source=0aad2298,permanent,full_time,32296.01,32296.01,1,,,38.5,"Birmingham, West Midlands",32296.01,corus consultancy
Data Analysis Starter Course (Hiring Immediately),ITonlinelearning Recruitment,"Ladywood, Birmingham","Data Analyst Course Programme Job Guarantee Included Complete online training designed to take you from zero experience to your first data analyst role. Study part-time, build fundamental skills, and get dedicated job placement support until you're hired. Flexible financing options available, with payment plans starting from as low as 142 per month. The Programme Complete this 10-week online training with just 10-15 hours per week of study time. You'll learn industry-standard tools, including E…",https://www.adzuna.co.uk/jobs/land/ad/5280326330?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=037B40F6BABDE066B6A643FB15ED3618451951F1,,part_time,31383.04,31383.04,1,,,32.8,Ladywood,31383.04,itonlinelearning
Systems Data and Stock Analyst,SCC,"Birmingham, West Midlands","We are actively building diverse teams and welcome applications from everyone. Role: Systems Data Stock Analyst Location: Birmingham (SCC operate hybrid working, which comprises of a mix of office and home working) Contract Type: Temporary Salary Package: £23,907 Pro Rata Hours: 9.00 am – 5.30 pm Monday – Friday Interview Process: 2-stage process Why SCC? An inclusive workplace Excellent package: solid basic and company benefits Hybrid working in line with role requirements Career development a…",https://www.adzuna.co.uk/jobs/details/5414239556?utm_medium=api&utm_source=0aad2298,contract,,31161.66,31161.66,1,,,53.7,"Birmingham, West Midlands",31161.66,scc
Data Analysis Starter Course - Guaranteed Job Placement (Hiring Immediately),ITonlinelearning Recruitment,"Ladywood, Birmingham","Data Analyst Course Programme Job Guarantee Included Complete online training designed to take you from zero experience to your first data analyst role. Study part-time, build fundamental skills, and get dedicated job placement support until you're hired. Flexible financing options available, with payment plans starting from as low as 142 per month. The Programme Complete this 10-week online training with just 10-15 hours per week of study time. You'll learn industry-standard tools, including E…",https://www.adzuna.co.uk/jobs/land/ad/5280557311?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=7E57C36FCAF0430A7B78F57EDECAD761822D853C,,part_time,30453.92,30453.92,1,,,32.8,Ladywood,30453.92,itonlinelearning
Data Analyst,Corus Consultancy,"Birmingham, West Midlands","The Company Our client is a well-established organisation within the retail and distribution industry, recognised for their quality, customer focus, and commitment to creating a positive workplace culture. With a strong ethos around staff wellbeing and professional growth, they offer excellent opportunities for individuals looking to build a long-term career within a supportive environment. The Role We are seeking an ambitious and detail-oriented Data Analyst to join our client's Birmingham-bas…",https://www.adzuna.co.uk/jobs/details/5359571208?utm_medium=api&utm_source=0aad2298,permanent,full_time,29000.0,31000.0,0,,,59.6,"Birmingham, West Midlands",30000.0,corus consultancy
Business Data Analyst,Corus Consultancy,"Birmingham, West Midlands","Business Data Analyst - Supply Chain & Purchasing | Birmingham Our client, a well-established organisation in the retail, wholesale, and distribution industry, is seeking a skilled Business Data Analyst to join their Birmingham-based Purchasing & Supply Chain team. This is a hands-on role where you will use data to drive smarter buying decisions, improve efficiency, and reduce costs across procurement and logistics operations. Key Responsibilities Collect, analyse, and interpret supply chain, p…",https://www.adzuna.co.uk/jobs/details/5362154867?utm_medium=api&utm_source=0aad2298,permanent,full_time,29000.0,31000.0,0,,,36.7,"Birmingham, West Midlands",30000.0,corus consultancy
Data Analyst Coach / Mentor,Versende Ltd,"Birmingham, West Midlands","Job Title: Data Analyst Coach / Mentor Job ID: 11922 Location: UK Remote / Home Based Job Type: Permanent Salary: £45-55k Industry: Education Teaching and Assessing Data Analytics: Level 4 Company: One of the UKs leading Apprenticeship Training Providers are currently recruiting for a Data Analyst Coach / Mentor to join their data delivery team. This is a full time, permanent position which is fully remote & home based. They believe in people-powered transformation because they know that all tr…",https://www.adzuna.co.uk/jobs/details/5409417145?utm_medium=api&utm_source=0aad2298,permanent,full_time,29647.12,29647.12,1,,,76.7,"Birmingham, West Midlands",29647.12,versende
Entry-Level Data Analyst,How to Job Ltd,"Birmingham, West Midlands","Entry-Level Data Analyst – Finance Location: Birmingham, UK – Flexible Working Options Available About Our Client: Our client is a respected financial institution based in Birmingham’s growing business district . Known for delivering innovative financial solutions, they harness the power of data to inform strategic decisions across multiple departments. They’re now looking for an Entry-Level Data Analyst to join their analytics team-ideal for someone eager to break into the financial sector and…",https://www.adzuna.co.uk/jobs/land/ad/5414796376?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=4977F9B3243D84627390A65E23C1CA60F09D80B3,permanent,full_time,25000.0,32000.0,0,,,38.5,"Birmingham, West Midlands",28500.0,how to job
Commercial Data Analyst - Graduate,MSA Data Analytics Ltd,"Birmingham, West Midlands","An excellent opportunity has arisen for a Graduate Data Analyst to join a leading financial services organisation within their high-performing Information Management team. This role is ideal for a recent graduate or early-career candidate with strong analytical skills and, ideally, some commercial experience who is looking to build a career in data and analytics. You’ll work with customer, product, and campaign data to deliver meaningful insights that influence decision-making, support business…",https://www.adzuna.co.uk/jobs/land/ad/5384995654?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=F34B71A14027C43ED9244F082C7B9C2DAFC660D5,permanent,full_time,25000.0,30000.0,0,,,59.6,"Birmingham, West Midlands",27500.0,msa data analytics
Data Analyst,Tagged Resources Ltd,"Balsall Heath, Birmingham","The Company: A Graduate Data Analyst/ Business Analyst is required to join a successful company to assist with generating reports using business intelligence software and turn the data into useful recommendations and actions. This is an excellent opportunity to learn and understand all areas of reporting within a B2B environment, whilst working closely with teams across the company to provide clear data to assist with daily decision making. This is a fantastic opportunity to join a growing, div…",https://www.adzuna.co.uk/jobs/details/5414885213?utm_medium=api&utm_source=0aad2298,,full_time,26000.0,27000.0,0,,,60.5,Balsall Heath,26500.0,tagged resources
Junior Data Consultant,Sparta Global Limited,"Birmingham, West Midlands","About Sparta Global Embark on a transformative career journey with Sparta Global, where diversity, innovation, and passion for technology converge. We welcome individuals from all backgrounds, offering not just jobs, but dynamic careers in the tech industry. You'll work alongside enthusiastic professionals, receiving top-tier training and mentorship to hone your skills for success in both public and private sectors. Our commitment to designing impactful careers and coaching future leaders is ev…",https://www.adzuna.co.uk/jobs/details/5406699642?utm_medium=api&utm_source=0aad2298,permanent,,24000.0,24000.0,0,,,8.7,"Birmingham, West Midlands",24000.0,sparta global
Junior Data Analyst Apprenticeship,Baltic Training,"Bournbrook, Birmingham","Calling all aspiring Data Analysts! King Edward VI Foundation Trust has an exciting opportunity for an Data Apprentice to join their team of experts. They have a wealth of experience in supporting apprentices, there is no better place to kick-start your career! - Producing reports for key users (HR, Finance, Executive teams) - Management information and KPI reporting - Reports related to organisational structure, establishment control, pay, and user access - Conducting regular audits and contro…",https://www.adzuna.co.uk/jobs/details/5403002405?utm_medium=api&utm_source=0aad2298,,,22000.0,22000.0,0,,,34.6,Bournbrook,22000.0,baltic training
Data Analyst Apprentice,QA,"Birmingham, West Midlands","About the role: Are you passionate about data, digital innovation, and driving change? Join our dynamic Digital Transformation Team as a Data Analyst Apprentice, where you'll play a key role in shaping the future of how we work. This is a unique opportunity to gain hands-on experience in tactical application development, business engagement, and continuous improvement initiatives, while working towards a nationally recognized Level 4 Data Analyst Apprenticeship. Ready to kickstart your career i…",https://www.adzuna.co.uk/jobs/land/ad/5401415744?se=Nkr0XdKa8BG_PsItMwLifw&utm_medium=api&utm_source=0aad2298&v=54AF68546E5C5567E068421F72A630DB20225C24,permanent,full_time,20000.0,20000.0,0,,,32.8,"Birmingham, West Midlands",20000.0,qa
